Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815001.CEL
kidney	Rattus norvegicus	acetaminophen	High	1000	milligram per kilogram	24	hour	003017815002.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017705030.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	2	hour	003017706001.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706008.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	8	hour	003017706009.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706015.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Control	0	micromolar	24	hour	003017706016.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706002.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	2	hour	003017706003.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017706010.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	8	hour	003017716010.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706017.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Low	1000	micromolar	24	hour	003017706018.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706004.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	2	hour	003017706005.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706011.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	8	hour	003017706012.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706019.CEL
hepatocyte	Rattus norvegicus	acetaminophen	Middle	3000	micromolar	24	hour	003017706020.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706006.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	2	hour	003017706007.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706013.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	8	hour	003017706014.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706021.CEL
hepatocyte	Rattus norvegicus	acetaminophen	High	10000	micromolar	24	hour	003017706022.CEL
hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	8	hour	003016074030.CEL
hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	8	hour	003016075001.CEL
hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075006.CEL
hepatocyte	Homo sapiens	acetazolamide	Control	0	micromolar	24	hour	003016075007.CEL
hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	8	hour	003016075002.CEL
hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	8	hour	003016075003.CEL
hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	24	hour	003016075008.CEL
hepatocyte	Homo sapiens	acetazolamide	Middle	120	micromolar	24	hour	003016075009.CEL
hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	8	hour	003016075004.CEL
hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	8	hour	003016075005.CEL
hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075010.CEL
hepatocyte	Homo sapiens	acetazolamide	High	600	micromolar	24	hour	003016075011.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262026.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262027.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017262028.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263008.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263009.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017263010.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017262003.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017262004.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017296020.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262014.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262015.CEL
liver	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017262016.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017262029.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017262030.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017263001.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263011.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263012.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017263013.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017262005.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017262006.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017296021.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262017.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262018.CEL
liver	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017262019.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263002.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263003.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017263004.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263014.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263015.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017263016.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296022.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296023.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017296024.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262020.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262021.CEL
liver	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017262022.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263005.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263006.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017263007.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263017.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263018.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017263019.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262011.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262012.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017262013.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262023.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262024.CEL
liver	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017262025.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782018.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782019.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	3	hour	003017782020.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017782030.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017783001.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	6	hour	003017783002.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017784030.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017785001.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	9	hour	003017785002.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785012.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785013.CEL
kidney	Rattus norvegicus	acetazolamide	Control	0	milligram per kilogram	24	hour	003017785014.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782021.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782022.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	3	hour	003017782023.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783003.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783004.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	6	hour	003017783005.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785003.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785004.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	9	hour	003017785005.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785015.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785016.CEL
kidney	Rattus norvegicus	acetazolamide	Low	60	milligram per kilogram	24	hour	003017785017.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782024.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782025.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	3	hour	003017782026.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783006.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783007.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	6	hour	003017783008.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785006.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785007.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	9	hour	003017785008.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785018.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785019.CEL
kidney	Rattus norvegicus	acetazolamide	Middle	200	milligram per kilogram	24	hour	003017785020.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782027.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782028.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	3	hour	003017782029.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783009.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783010.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	6	hour	003017783011.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785009.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785010.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	9	hour	003017785011.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785021.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785022.CEL
kidney	Rattus norvegicus	acetazolamide	High	600	milligram per kilogram	24	hour	003017785023.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	2	hour	003017333003.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	2	hour	003017333004.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	8	hour	003017333011.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	8	hour	003017333012.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333019.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Control	0	micromolar	24	hour	003017333020.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	2	hour	003017333005.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	2	hour	003017333006.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	8	hour	003017333013.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	8	hour	003017333014.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	24	hour	003017333021.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Low	24	micromolar	24	hour	003017333022.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	2	hour	003017333007.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	2	hour	003017333008.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	8	hour	003017333015.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	8	hour	003017333016.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	24	hour	003017333023.CEL
hepatocyte	Rattus norvegicus	acetazolamide	Middle	120	micromolar	24	hour	003017333024.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	2	hour	003017333009.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	2	hour	003017333010.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	8	hour	003017333017.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	8	hour	003017333018.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	24	hour	003017333025.CEL
hepatocyte	Rattus norvegicus	acetazolamide	High	600	micromolar	24	hour	003017333026.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	2	hour	003016046021.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	2	hour	003016046022.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	8	hour	003016046029.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	8	hour	003016046030.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	24	hour	003016047007.CEL
hepatocyte	Homo sapiens	adapin	Control	0	micromolar	24	hour	003016047008.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	2	hour	003016046023.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	2	hour	003016046024.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	8	hour	003016047001.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	8	hour	003016047002.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	24	hour	003016047009.CEL
hepatocyte	Homo sapiens	adapin	Low	3	micromolar	24	hour	003016047010.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	2	hour	003016046025.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	2	hour	003016046026.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	8	hour	003016047003.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	8	hour	003016047004.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	24	hour	003016047011.CEL
hepatocyte	Homo sapiens	adapin	Middle	15	micromolar	24	hour	003016047012.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	2	hour	003016046027.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	2	hour	003016046028.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	8	hour	003016047005.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	8	hour	003016047006.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	24	hour	003016047013.CEL
hepatocyte	Homo sapiens	adapin	High	75	micromolar	24	hour	003016047014.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	3	hour	003017611029.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	3	hour	003017611030.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	3	hour	003017612022.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	6	hour	003017612029.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	6	hour	003017612030.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	6	hour	003017613001.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	9	hour	003017612001.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	9	hour	003017612002.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	9	hour	003017612003.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612010.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612011.CEL
liver	Rattus norvegicus	adapin	Control	0	milligram per kilogram	24	hour	003017612012.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	3	hour	003017612023.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	3	hour	003017612024.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	3	hour	003017612025.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	6	hour	003017613002.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	6	hour	003017613003.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	6	hour	003017613004.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	9	hour	003017612004.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	9	hour	003017612005.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	9	hour	003017612006.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	24	hour	003017612013.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	24	hour	003017612014.CEL
liver	Rattus norvegicus	adapin	Low	100	milligram per kilogram	24	hour	003017612015.CEL
liver	Rattus norvegicus	adapin	Middle	300	milligram per kilogram	3	hour	003017612026.CEL
liver	Rattus norvegicus	adapin	Middle	300	milligram per kilogram	3	hour	003017612027.CEL
